rndrng_prvdr_type,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
Advanced Heart Failure and Transplant Cardiology,9701,616595,957635.0,249033740.3600318,77877886.02999565,59589030.96998786,58171590.24001584,62.22520163735438,4.179187617356257,1.3069164704023968
Pediatric Medicine,8143,491729,1443976.5,185905109.07007325,70034687.20007288,55355413.79000522,55518302.379977345,38.33539797220053,3.3583907397985997,1.2651822541830244
Hospice and Palliative Care,8232,355617,741861.0,179024464.21999383,65432875.889956534,51327967.950018436,50310760.04999046,69.18812007912322,3.4878541148233695,1.2747996560797616
Audiologist,22229,2111305,2226589.0,262158890.8400919,71273674.35999522,51188886.53999679,50614440.1199953,22.989822791721682,5.1214024871443975,1.3923661790202262
Gynecological Oncology,7327,246713,2427498.0,225148021.4500248,65744198.15000186,50837516.96002454,50559541.2200072,20.942351738301966,4.428776913456792,1.2932220549185949
Sleep Medicine,5931,396984,585089.0,203606657.56991532,64932191.50999105,48765987.80999839,48400451.599983744,83.34798263169944,4.175177551272124,1.3315057158891004
Osteopathic Manipulative Medicine,4515,285285,1154277.0,153663817.4999743,58245090.120103195,45809392.77001451,45406841.79999914,39.68665473713373,3.3544172539339607,1.2714661033059738
Certified Clinical Nurse Specialist,5093,249322,698068.0,117998113.70002444,50152708.72003956,37663615.09015595,38674714.08013829,53.954077668874596,3.132947100738222,1.3315957217592704
Surgical Oncology,7061,236639,309125.0,175738296.45000672,46255316.21004321,35689169.9200137,34520867.8900105,115.45222780433062,4.924135160438588,1.2960602982280134
Oral Surgery (Dentist only),2739,106787,177705.0,75405940.61998385,34296215.490020104,26687767.420004375,23898514.38999851,150.18017174533287,2.825487026818952,1.2850912161469399
Radiation Therapy Center,330,24231,137340.0,234110475.1100746,33415230.369963445,26582272.71999495,27595413.229947414,193.5508425804205,8.807015019975278,1.2570494149218778
Undefined Physician type,2390,164957,479550.0,97999298.68995151,31893149.17000845,24652797.009991407,23633917.009988494,51.40818894795414,3.975179718967948,1.2936929289233443
Peripheral Vascular Disease,1083,60484,83970.0,70269669.22995369,19690678.919934884,15402663.130009105,15176668.649988119,183.43054817207462,4.562176594841372,1.2783944408659702
Undersea and Hyperbaric Medicine,870,42459,223783.0,49892093.59995014,17901528.77003206,14120407.250015708,14356181.049964072,63.09865919223403,3.533332482311701,1.2677770869542127
Hematopoietic Cell Transplantation and Cellular Therapy,1064,40695,510631.0,58755696.15007466,16136783.46000651,12667787.719997996,12676640.330003876,24.808105500837193,4.638197090824312,1.2738438484039472
Preventive Medicine,1366,79957,213098.0,39385833.859968886,15235634.449996823,11993876.300053561,11820497.749957254,56.283382763111625,3.2838285867424695,1.2702844408966254
Registered Dietitian or Nutrition Professional,3109,100553,403169.5,32448381.71999837,12853034.909998627,11924252.390001135,11765905.000003977,29.576275958377643,2.721208899201712,1.0778902097691514
Geriatric Psychiatry,773,41577,116754.0,27301276.5400102,11668946.599998444,8895025.660015447,8665111.54000002,76.18604638826461,3.0692746242131457,1.3118508080816689
Anesthesiology Assistant,5229,114643,117592.0,127829865.22003774,11085426.27999888,8817847.710001497,8794485.829997476,74.98679935711185,14.496719542462596,1.2571578285963614
Dentist,676,25246,62922.0,20920430.26000438,10329467.15000285,8083794.999991321,6445577.220002265,128.47326849100983,2.5879466587199254,1.2777992452819424
