rndrng_npi,rndrng_prvdr_type,rndrng_prvdr_state_abrvtn,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
1669484473,Clinical Laboratory,UT,7,34753,34765.0,134362711.03974748,66189668.19071509,65873898.190747,66165882.98048967,1894.833832611736,2.0396957631182175,1.0047935526610818
1417543117,Nurse Practitioner,AZ,5,193,69121.0,80742601.64666888,78999186.67198424,62941990.93018901,62943774.73975204,910.605907469351,1.282809781727799,1.2551110237298464
1295726032,Clinical Laboratory,AL,540,3540036,5261868.0,352621142.6002358,60637062.25010413,60467648.23010061,60742141.859797806,11.491669542090492,5.831567010153739,1.0028017299326548
1659352276,Clinical Laboratory,CA,536,3434386,5250935.0,396522786.9208458,59903890.63979234,59823997.95979111,59908077.33987132,11.39301818814956,6.628155931460091,1.0013354620674955
1538105366,Clinical Laboratory,AZ,571,2941484,4939199.0,279482456.3703562,58186069.88029755,57844645.42030578,58081533.68020218,11.711341336987187,4.831604625451584,1.0059024384627295
1932184322,Clinical Laboratory,OH,528,3292485,4961044.0,307328288.1809918,56969184.66015992,56935139.32015812,57032927.58969169,11.47644312772838,5.397866622452981,1.0005979670974434
1932507969,Clinical Laboratory,MI,125,347189,4412305.0,56859980.04873775,53462926.330923095,53462926.330923095,53496591.9009312,12.116779400092037,1.0635403624707649,1.0
1932166386,Clinical Laboratory,GA,560,2854371,4231189.0,397233820.27023196,53421261.339940764,53287982.529945046,53304123.520096414,12.594091762373424,7.45447287382305,1.002501104445469
1225551484,Nurse Practitioner,AZ,7,186,50051.0,63889329.09997183,62656374.4984284,49920483.669817984,49921804.73981794,997.3923332164788,1.279821916841712,1.2551235463351602
1366543795,Clinical Laboratory,NY,584,2059262,3726336.0,260728276.48113668,49488895.909976855,48529662.01997307,48110558.73018203,13.023426234234666,5.372554961825826,1.0197659297443489
1194769497,Clinical Laboratory,TX,550,2706448,4057021.0,303457624.3305738,47918185.23019607,47679004.1102011,47860607.26996392,11.752220190677125,6.364596534549847,1.0050164873293526
1255314704,Clinical Laboratory,FL,525,2741570,4055926.0,298680223.0293561,47526219.869974926,47390804.85997838,47434969.23990396,11.684336661955465,6.302493150556135,1.0028574110609991
1619913449,Clinical Laboratory,CA,518,2555689,3934462.0,347692859.74056697,47065102.059969306,47065102.059969306,47071484.60012397,11.962271349925176,7.387487639940618,1.0
1790721538,Clinical Laboratory,TX,570,2472352,3795087.0,335235843.75120425,46792100.670084774,46744548.10008534,46804768.23987425,12.317121610146312,7.171656532723914,1.001017285906746
1609812445,Clinical Laboratory,KS,539,2599993,3741330.0,354348524.08945274,46044681.099958204,46044395.609958224,46051123.10011596,12.306959185626027,7.695801397658399,1.000006200320282
1316058217,Centralized Flu,FL,21,623290,628752.0,68350421.00022627,45511651.51017136,45511651.51017136,42741161.560076885,72.3841061502331,1.5018224725365261,1.0
1306599451,Clinical Laboratory,IL,5,390655,3831438.0,57649321.9989034,45105969.89078427,45105969.89078427,45105969.89078427,11.772595534831641,1.2780862963038047,1.0
1235671884,Clinical Laboratory,PA,2,7421,7602.0,56853000.0,44540177.7799836,44540177.7799836,44540177.7799836,5859.007863717917,1.2764430416249886,1.0
1003053851,Internal Medicine,CA,34,1829,49752.0,56845801.00011419,54190205.53005548,43170234.69976944,43129131.11976969,867.7085282957356,1.3167823014040225,1.2552677998376713
1851059588,Clinical Laboratory,TX,52,250419,387869.0,47460690.000013426,43019623.26000583,43019623.26000583,43372744.67997922,110.91276503150763,1.103233510743836,1.0
1518903350,Clinical Laboratory,FL,556,2281915,3508234.0,340840809.67898566,42153735.55987351,42153481.919873506,42173385.87020551,12.015584456416962,8.085709510945389,1.0000060170592902
1700865094,Portable X-Ray Supplier,MD,154,748426,1258190.0,137422154.43104598,55323214.47935408,42021791.72996621,42454450.05025188,33.398605719300114,3.270259281520562,1.316536306563589
1750944526,Clinical Laboratory,PA,29,316993,1185367.0,51140461.56010021,41853703.62016022,41853703.62016022,41856724.01029906,35.308645862555835,1.2218861686464162,1.0
1376521773,Geriatric Medicine,CT,10,209711,847398.0,103298655.41747512,52552916.88997773,41743309.28009344,36485404.080035,49.26057092428049,2.4746158653678236,1.258954256294174
1861568784,Clinical Laboratory,CA,3,23143,23175.0,100412149.00040689,40813240.000879,40813240.000879,40815179.040859,1761.0891046765478,2.460283697110161,1.0
1881630614,Clinical Laboratory,IL,543,2357629,3345429.0,308885738.3785284,40249641.02008696,40249641.02008696,40268839.33980963,12.031234565159494,7.674248280236241,1.0
1316943566,Ambulance Service Provider,LA,9,91239,1295519.1,258318488.3794023,48708597.0302258,38730187.74999869,37205842.34979328,29.895497295253065,6.669693677883373,1.2576390629613574
1740262880,Clinical Laboratory,AZ,552,2053286,3126484.0,248369625.83960235,38610077.330196075,38458196.990195185,38515264.570014745,12.30078164167646,6.458171346486251,1.0039492319424026
1043344435,Clinical Laboratory,CA,3,10228,10241.0,57584499.999980204,38416577.60967606,38414389.8096759,38515954.03017056,3751.0389424544383,1.4990346139892528,1.0000569526162202
1417915653,Pharmacy,PA,9,305,14135759.0,64881779.34978297,47459725.5000271,37806265.07052744,38748951.47040803,2.674512565651936,1.7161647475291797,1.2553402302896401
1134438427,Clinical Laboratory,CA,8,26088,31510.0,75894509.00003181,38264554.51966549,37721213.26964488,37857089.46999426,1197.118796243887,2.0119848335076185,1.014404129743564
