hcpcs_cd,hcpcs_desc,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
87637,"Detection test by multiplex amplified probe technique for severe acute respiratory syndrome coronavirus 2 (sars-cov-2) (covid-19), influenza virus types a and b, and respiratory syncytial virus",1141,204167,577583.0,198064962.7796755,80656525.45003419,80656525.45003419,80733642.15999928,139.64490895686714,2.4556594977845227,1.0
36465,Injection of chemical agent into single incompetent vein of leg using ultrasound guidance,989,37799,76407.0,322089402.3599695,101361706.6601831,80490381.34999979,79103960.85978511,1053.4425033046682,4.001588723494977,1.2593021049239117
93925,Ultrasound of leg arteries or artery grafts,10808,516727,570586.0,265134709.53989467,103801759.02002005,80044114.49998653,75839363.3399989,140.28404920552998,3.312357331905262,1.2968068879072616
70551,Mri scan of brain without contrast,16420,1050486,1081057.0,689415834.8402996,104888717.1900337,79706976.62002702,75647531.2400132,73.73059572254472,8.649378813185072,1.315928939195011
29827,Repair of shoulder rotator cuff using an endoscope,3450,77340,78241.0,548602364.7502724,99704010.20995615,79315334.76005328,80062158.39998953,1013.7310969958625,6.916725074790618,1.2570584302718157
71046,"X-ray of chest, 2 views",58454,6104167,6665091.1,460252239.34001786,110867074.79007445,78932353.94999179,78611671.56996416,11.842651925641617,5.830970651548213,1.404583408982268
J9217,"Leuprolide acetate (for depot suspension), 7.5 mg",3684,84870,577092.0,562740981.5900383,97905941.2299957,76777249.3199957,77372474.18997692,133.04161090431975,7.3295277777486,1.275194697610732
J2350,"Injection, ocrelizumab, 1 mg",105,2104,1767151.0,221996391.75950152,96290961.0799931,76752409.77008907,83155235.60003647,43.43285308957134,2.8923703167690635,1.254565965660642
20611,Aspiration and/or injection of fluid large joint using ultrasound guidance,8600,520238,961358.5,414444078.70011127,100190907.63994664,76334199.53998543,72453811.25999388,79.40242848009919,5.429336800512552,1.3125297473967035
99439,"Chronic care management services for two or more chronic conditions, additional 20 minutes of clinical staff time directed by health care professional, per calendar month",8558,550009,2088253.0,199256230.57818037,97220746.68013854,76179712.48988818,74080079.38989475,36.480116389100445,2.6156075425544425,1.276202593873576
77280,"Obtaining data needed to develop the optimal radiation treatment, 1 treatment area",3464,114333,431630.0,212906740.1999967,94839565.39003527,75415077.34002073,76594326.61006922,174.72158408827173,2.8231322927651883,1.2575677004537988
J9312,"Injection, rituximab, 10 mg",317,5576,1198227.2,203798321.6700038,93373553.68997395,74353283.6699921,75366627.19000843,62.05274230963219,2.740945814505484,1.2558094152828674
93247,Heart rhythm analysis and report of continous external ekg over 8-15 days,42,324440,336440.0,401827745.8600076,95922200.93006338,74007494.3092854,61968882.40965013,219.9723407124165,5.429554798608983,1.2961146952117313
23472,"Prosthetic repair of shoulder joint, total shoulder",3447,91440,93167.0,469029158.4999243,92020423.9200076,73165842.1199969,73620007.85001583,785.3192881599376,6.410493543294218,1.2576965050041782
92928,"Insertion of stents with balloon dilation of coronary artery or branch, single artery or branch",5117,140626,171363.0,357525049.95994323,91291888.01999204,72515697.16999,72159556.71999602,423.17009605334874,4.930312524222713,1.258925882019547
99457,"Management using the results of remote vital sign monitoring per calendar month, first 20 minutes",6069,372393,1913465.0,216519650.11995357,93124590.77001598,72037094.56999347,69796734.54001555,37.6474587044934,3.005668835096846,1.2927310759255186
81542,Mrna gene expression analysis of 22 genes in prostate tumor tissue,1,18742,18930.0,97489500.0,71718745.20951,71718745.20951,71834390.040906,3788.628907,1.3593308097514338,1.0
98940,"Chiropractic manipulative treatment, 1-2 spinal regions",12805,517102,3709467.1,175685612.75000793,101142964.58998968,70564738.63001676,71135344.36995526,19.022877606871553,2.4897082616738406,1.433335778657098
G0480,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms",1592,344599,635738.0,195255473.0302945,70250966.43970242,70250897.7697024,71266473.3500134,110.5029080685792,2.7794018187551717,1.000000977496405
